Crop,Records,Average_Yield,Median_Yield,Minimum_Yield,Maximum_Yield,Performance_Score,Recommendation
Peas & beans (Pulses),369,1.3938954407669375,0.934444444,0.211666667,13.10181818,0.016110672777946276,Needs Further Analysis
Groundnut,725,1.360983478711724,1.195,0.204166667,3.673448276,0.015730275629319414,Needs Further Analysis
Sannhamp,160,1.27495866810625,0.4046190475,0.0,6.622608696,0.01473599906171184,Needs Further Analysis
Ragi,498,1.215408287676707,1.0393333335000001,0.0775,4.336538462,0.0140477145140741,Needs Further Analysis
Soyabean,349,1.0831943599426934,1.008,0.0,2.845,0.01251958316066516,Needs Further Analysis
Jowar,513,1.0724982779980505,0.97952381,0.003571429,3.579090909,0.012395957620917768,Needs Further Analysis
Arhar/Tur,508,0.967347756984252,0.7785855265,0.136666667,68.23,0.011180625690746746,Needs Further Analysis
Guar seed,63,0.9518750033492064,0.812419355,0.0,10.65148148,0.01100179127928555,Needs Further Analysis
Sunflower,441,0.9340864302335601,0.843333333,0.0,5.02,0.010796190577632443,Needs Further Analysis
Gram,490,0.8764689137326531,0.818733766,0.0,9.38,0.010130246111874457,Needs Further Analysis
Other Summer Pulses,10,0.8599253987,0.6793750000000001,0.334666667,2.8,0.009939035817692373,Needs Further Analysis
Other Cereals,146,0.8495458645616438,0.7785576925,0.095454545,4.394,0.009819068944137947,Needs Further Analysis
Black pepper,126,0.8296046303571429,0.5171428570000001,0.141666667,4.133571429,0.009588587740411261,Needs Further Analysis
Cowpea(Lobia),134,0.8132239215895523,0.7637499999999999,0.0,2.523333333,0.009399259164459906,Needs Further Analysis
Rapeseed &Mustard,528,0.7915678563996212,0.7381891025,0.08,6.345,0.009148957908190005,Needs Further Analysis
Khesari,75,0.7889407394533333,0.792758621,0.28125,1.545652174,0.009118593635352041,Needs Further Analysis
Other  Rabi pulses,355,0.7803798285887323,0.740909091,0.0,4.0,0.009019646447789059,Needs Further Analysis
Small millets,485,0.7687220714474228,0.75,0.0,2.8775,0.008884905845922202,Needs Further Analysis
Masoor,324,0.7031530066604939,0.705,0.258888889,2.12375,0.008127057218081832,Needs Further Analysis
Other Kharif pulses,382,0.6995134804162303,0.6445833335,0.0,2.8,0.008084991497315992,Needs Further Analysis
Castor seed,300,0.6936094939966667,0.59,0.07,2.466333333,0.008016753098287517,Needs Further Analysis
Coriander,199,0.6482002338542713,0.481935484,0.0,5.4925,0.0074919119159099845,Needs Further Analysis
Sesamum,685,0.6117499490642335,0.438,0.0,69.36666667,0.007070618758804782,Needs Further Analysis
Urad,733,0.5840477716793997,0.57,0.0,4.1875,0.006750436410810214,Needs Further Analysis
Safflower,169,0.5654818957928993,0.556666667,0.0,1.256666667,0.006535851627407237,Needs Further Analysis
Moong(Green Gram),740,0.5309404007337838,0.5112581700000001,0.0,1.773333333,0.006136620302099026,Needs Further Analysis
Linseed,308,0.47393049192532466,0.4410416665,0.0,1.213333333,0.005477698578810878,Needs Further Analysis
Horse-gram,371,0.4628220138005391,0.422,0.0,1.3,0.005349306555352558,Needs Further Analysis
Moth,110,0.4459953350454546,0.433,0.0,1.0,0.005154823448919818,Needs Further Analysis
Niger seed,192,0.423523330609375,0.35951190499999996,0.0,4.987647059,0.004895091549707179,Needs Further Analysis
Cardamom,74,0.1683552699054054,0.07677777799999999,0.0,2.87,0.0019458537452396462,Needs Further Analysis
