,Sustainability_Score,Fertilizer_Pressure,Pesticide_Pressure,Sustainability_Level
5563,96.42767521368246,6.8034409347742395,7.485858210495892,Better
5564,63.91124400231728,68.73051430825016,75.62450968248069,Moderate
5565,99.75173032373083,0.47282601091095094,0.5202526941657376,Better
5566,98.3241796851831,3.1915755736489184,3.511705685618729,Better
5567,74.96614097619181,47.67662276685422,52.45881332837854,Better
5568,94.22083364684538,11.006338809538246,12.110326603080226,Better
5569,91.97606199057829,15.281473991524763,16.814278046162105,Better
5570,65.68016544573513,65.36162898050965,71.91770923654983,Moderate
5571,93.5691257466388,12.247507088179493,13.475989925265285,Better
5572,76.97298752603429,43.8546125119907,48.25343738387217,Better
5573,99.67587014487081,0.6173006253559636,0.6792187951608241,Better
5574,50.0,100.0,100.0,Moderate
5575,95.66217704518586,8.261321135083003,9.089970684173583,Better
5576,84.56934998188132,29.387449983701465,32.335150088773275,Better
5577,98.0793581988621,3.657834556630551,4.024732647921053,Better
5578,91.94847647099282,15.334010214959312,16.872083901069406,Better
5579,56.659700541288544,82.54097404360753,90.82022379123828,Moderate
5580,78.06951192955647,41.76629763046733,45.95565465130682,Better
5581,65.93533150190066,64.87566891374006,71.38300507865725,Moderate
5582,50.0,100.0,100.0,Moderate
5583,53.02186014595554,89.46918850903882,98.44337090713901,Moderate
5584,50.0,100.0,100.0,Moderate
5585,91.79675611327278,15.622959443849336,17.19001610305958,Better
5586,89.99335277037308,19.05751505088305,20.969073867624594,Better
5587,93.55878117679426,12.267208171967447,13.497667120855525,Better
5588,99.56897625647714,0.8208784911648453,0.9032164829266278,Better
5589,83.71419887473195,31.016072910172515,34.12713159089971,Better
5590,81.32460324064117,35.567023265190414,39.13456377224493,Better
5591,97.23455166155728,5.266756399313648,5.7950369544572435,Better
5592,90.83471111772974,17.45516023612927,19.205995292951812,Better
5593,98.40693624393947,3.0339669033452683,3.3382881208968165,Better
5594,93.66912325513611,12.057063278229249,13.26644370122631,Better
5595,91.68641403493092,15.833104337587539,17.421239522688797,Better
5596,97.07248673399269,5.575406711991629,6.134646352037656,Better
5597,50.0,100.0,100.0,Moderate
5598,50.0,100.0,100.0,Moderate
5599,99.27588011088157,1.3790758651569404,1.5174036913167348,Better
5600,99.26208735108885,1.4053439768742155,1.5463066187703869,Better
5601,79.19707004261228,39.618879497580096,43.59284033197077,Better
5602,99.41380770880889,1.1163947479841898,1.2283744167802138,Better
5603,50.0,100.0,100.0,Moderate
5604,63.64573337630719,69.23617545880772,76.1808910359635,Moderate
5605,96.93800732601355,5.831520801235062,6.416449894710764,Better
5606,99.81034955284994,0.36118653611253193,0.39741525248771625,Better
5607,97.10007225357813,5.52287048855708,6.076840497130352,Better
5608,50.0,100.0,100.0,Moderate
5609,50.0,100.0,100.0,Moderate
5610,50.0,100.0,100.0,Moderate
5611,95.11046665347659,9.312045603774006,10.246087782319666,Better
5612,50.0,100.0,100.0,Moderate
5613,93.7932580932707,11.820650272773774,13.006317354143441,Better
5614,50.0,100.0,100.0,Moderate
5615,90.86229663731518,17.402624012694723,19.14818943804451,Better
5616,50.0,100.0,100.0,Moderate
5617,89.93818173120216,19.16258749775215,21.0846855774392,Better
5618,50.0,100.0,100.0,Moderate
5619,84.45900790353946,29.597594877439665,32.5663735084025,Better
5620,50.0,100.0,100.0,Moderate
5621,59.46307896916127,77.20198033707138,84.9457037862835,Moderate
5622,86.22103296706095,26.241843605557776,28.87402452619844,Better
5623,50.0,100.0,100.0,Moderate
5624,86.18655106757912,26.307513884850962,28.946281844832566,Better
5625,50.0,100.0,100.0,Moderate
5626,50.0,100.0,100.0,Moderate
5627,50.0,100.0,100.0,Moderate
5628,90.46230660332597,18.1643992524957,19.98637433420042,Better
5629,50.0,100.0,100.0,Moderate
5630,50.0,100.0,100.0,Moderate
5631,50.0,100.0,100.0,Moderate
5632,50.0,100.0,100.0,Moderate
5633,50.0,100.0,100.0,Moderate
5634,93.5898148863279,12.20810492060358,13.432635534084808,Better
5635,94.12428432829626,11.190215591559172,12.31264709525579,Better
5636,50.0,100.0,100.0,Moderate
5637,50.0,100.0,100.0,Moderate
5638,50.0,100.0,100.0,Moderate
